Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case"
"https://www.diodes.com/assets/Datasheets/DMN3731U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","31-DMN3731U-7TR-ND,31-DMN3731U-7CT-ND,31-DMN3731U-7DKR-ND","DMN3731U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 900MA SOT23","80.891","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","900mA (Ta)","1.8V, 4.5V","460mOhm @ 200mA, 4.5V","0.95V @ 250µA","5.5 nC @ 4.5 V","±8V","73 pF @ 25 V","-","400mW","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/ruc002n05t116-e.pdf","//media.digikey.com/Renders/Rohm%20Renders/Rohm-SST3.jpg","RUC002N05T116TR-ND,RUC002N05T116CT-ND,RUC002N05T116DKR-ND","RUC002N05T116","Rohm Semiconductor","Rohm Semiconductor","MOSFET N-CH 50V 200MA SST3","332.786","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","200mA (Ta)","1.2V, 4.5V","2.2Ohm @ 200mA, 4.5V","1V @ 1mA","-","±8V","25 pF @ 10 V","-","200mW (Ta)","150°C (TJ)","Surface Mount","SST3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN62D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN62D0U-7DITR-ND,DMN62D0U-7DICT-ND,DMN62D0U-7DIDKR-ND","DMN62D0U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 380MA SOT23","15.245","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","380mA (Ta)","1.8V, 4.5V","2Ohm @ 100mA, 4.5V","1V @ 250µA","0.5 nC @ 4.5 V","±20V","32 pF @ 30 V","-","380mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN62D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN62D0U-13DITR-ND,DMN62D0U-13DICT-ND,DMN62D0U-13DIDKR-ND","DMN62D0U-13","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 60V 380MA SOT23","127.292","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","60 V","380mA (Ta)","1.8V, 4.5V","2Ohm @ 100mA, 4.5V","1V @ 250µA","0.5 nC @ 4.5 V","±20V","32 pF @ 30 V","-","380mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3436-AU.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3436-AU_R1_000A1TR-ND,3757-PJA3436-AU_R1_000A1CT-ND,3757-PJA3436-AU_R1_000A1DKR-ND","PJA3436-AU_R1_000A1","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","4.156","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q101","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.2A (Ta)","1.8V, 4.5V","380mOhm @ 1.2A, 4.5V","1V @ 250µA","0.9 nC @ 4.5 V","±12V","39 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN53D0U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN53D0U-7DITR-ND,DMN53D0U-7DICT-ND,DMN53D0U-7DIDKR-ND","DMN53D0U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 50V 300MA SOT23","206.164","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","300mA (Ta)","1.8V, 5V","2Ohm @ 50mA, 5V","1V @ 250µA","0.6 nC @ 4.5 V","±12V","37.1 pF @ 25 V","-","520mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3430.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3430_R1_00001TR-ND,3757-PJA3430_R1_00001CT-ND,3757-PJA3430_R1_00001DKR-ND","PJA3430_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","9.056","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2A (Ta)","1.8V, 4.5V","150mOhm @ 2A, 4.5V","1V @ 250µA","1.8 nC @ 4.5 V","±8V","92 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3416AE.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3416AE_R1_00001TR-ND,3757-PJA3416AE_R1_00001CT-ND,3757-PJA3416AE_R1_00001DKR-ND","PJA3416AE_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","15.129","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6.5A (Ta)","1.8V, 4.5V","22mOhm @ 6.5A, 4.5V","1V @ 250µA","8.6 nC @ 4.5 V","±8V","836 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3436.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3436_R1_00001TR-ND,3757-PJA3436_R1_00001CT-ND,3757-PJA3436_R1_00001DKR-ND","PJA3436_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","2.749","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.2A (Ta)","1.8V, 4.5V","380mOhm @ 1.2A, 4.5V","1V @ 250µA","0.9 nC @ 4.5 V","±12V","39 pF @ 10 V","-","1.25W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.panjit.com.tw/upload/datasheet/PJA3434.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","3757-PJA3434_R1_00001TR-ND,3757-PJA3434_R1_00001CT-ND,3757-PJA3434_R1_00001DKR-ND","PJA3434_R1_00001","Panjit International Inc.","Panjit International Inc.","SOT-23, MOSFET","340","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","750mA (Ta)","1.2V, 4.5V","400mOhm @ 600mA, 4.5V","1V @ 250µA","1.4 nC @ 4.5 V","±10V","67 pF @ 10 V","-","500mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN2056U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN2056U-7DITR-ND,DMN2056U-7DICT-ND,DMN2056U-7DIDKR-ND","DMN2056U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CHANNEL 20V 4A SOT23-3","202.288","0.41","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4A (Ta)","1.5V, 4.5V","38mOhm @ 3.6A, 4.5V","1V @ 250µA","4.3 nC @ 4.5 V","±8V","339 pF @ 10 V","-","940mW","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.vishay.com/docs/68645/si2302cds.pdf","//media.digikey.com/Photos/Vishay%20Siliconix%20Photos/MFG_SOT-23(TO-236).jpg","742-SI2302CDS-T1-BE3TR-ND,742-SI2302CDS-T1-BE3CT-ND,742-SI2302CDS-T1-BE3DKR-ND","SI2302CDS-T1-BE3","Vishay Siliconix","Vishay Siliconix","N-CHANNEL 20-V (D-S) MOSFET","1.324","0.41","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2.6A (Ta)","2.5V, 4.5V","57mOhm @ 3.6A, 4.5V","850mV @ 250µA","5.5 nC @ 4.5 V","±8V","-","-","710mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DMN2075U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN2075U-7DITR-ND,DMN2075U-7DICT-ND,DMN2075U-7DIDKR-ND","DMN2075U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 4.2A SOT23-3","110.744","0.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.2A (Ta)","2.5V, 4.5V","38mOhm @ 3.6A, 4.5V","1V @ 250µA","7 nC @ 4.5 V","±8V","594.3 pF @ 10 V","-","800mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"http://www.gofordsemi.com/404.php","//media.digikey.com/Photos/3141-Goford/MFG_sot-23-pic.jpg","3141-2302TR-ND,3141-2302CT-ND","2302","Goford Semiconductor","Goford Semiconductor","MOSFET N-CH 20V 4.3A SOT-23","2.755","0.43","0","1","Tape & Reel (TR),Cut Tape (CT)","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.3A (Ta)","2.5V, 4.5V","27mOhm @ 2.2A, 4.5V","1.1V @ 250µA","10 nC @ 4.5 V","±10V","300 pF @ 10 V","Standard","1W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://toshiba.semicon-storage.com/info/docget.jsp?did=2157&prodName=SSM3K329R","//media.digikey.com/Renders/Toshiba%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg","SSM3K329RLFTR-ND,SSM3K329RLFCT-ND,SSM3K329RLFDKR-ND","SSM3K329R,LF","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","MOSFET N CH 30V 3.5A 2-3Z1A","29.263","0.43","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","U-MOSIII","Active","N-Channel","MOSFET (Metal Oxide)","30 V","3.5A (Ta)","1.8V, 4V","126mOhm @ 1A, 4V","1V @ 1mA","1.5 nC @ 4 V","±12V","123 pF @ 15 V","-","1W (Ta)","150°C (TJ)","Surface Mount","SOT-23F","SOT-23-3 Flat Leads"
"https://www.diodes.com/assets/Datasheets/DMN2230UQ.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN2230UQ-7DITR-ND,DMN2230UQ-7DICT-ND,DMN2230UQ-7DIDKR-ND","DMN2230UQ-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 2A SOT23","776","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2A (Ta)","1.8V, 4.5V","110mOhm @ 2.5A, 4.5V","1V @ 250µA","2.3 nC @ 10 V","±12V","188 pF @ 10 V","-","600mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/ryc002n05-e.pdf","//media.digikey.com/Renders/Rohm%20Renders/Rohm-SST3.jpg","RYC002N05T316TR-ND,RYC002N05T316CT-ND,RYC002N05T316DKR-ND","RYC002N05T316","Rohm Semiconductor","Rohm Semiconductor","MOSFET N-CHANNEL 50V 200MA SST3","49.554","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","200mA (Ta)","4.5V","2.2Ohm @ 200mA, 4.5V","800mV @ 1mA","-","±8V","26 pF @ 10 V","-","350mW (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","SST3","TO-236-3, SC-59, SOT-23-3"
"https://assets.nexperia.com/documents/data-sheet/NXV40UN.pdf","//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg","1727-NXV40UNRTR-ND,1727-NXV40UNRCT-ND,1727-NXV40UNRDKR-ND","NXV40UNR","Nexperia USA Inc.","Nexperia USA Inc.","NXV40UN/SOT23/TO-236AB","22.242","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q101, TrenchMOS™","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2.5A (Ta)","1.5V, 4.5V","50mOhm @ 2.5A, 4.5V","950mV @ 250µA","9 nC @ 4.5 V","±8V","347 pF @ 10 V","-","340mW (Ta), 2.1W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","TO-236AB","TO-236-3, SC-59, SOT-23-3"
"https://assets.nexperia.com/documents/data-sheet/NXV55UN.pdf","//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg","1727-NXV55UNRTR-ND,1727-NXV55UNRCT-ND,1727-NXV55UNRDKR-ND","NXV55UNR","Nexperia USA Inc.","Nexperia USA Inc.","NXV55UN/SOT23/TO-236AB","7","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchMOS™","Active","N-Channel","MOSFET (Metal Oxide)","30 V","1.9A (Ta)","1.5V, 4.5V","66mOhm @ 1.9A, 4.5V","900mV @ 250µA","8.7 nC @ 4.5 V","±8V","352 pF @ 15 V","-","340mW (Ta), 2.1W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","TO-236AB","TO-236-3, SC-59, SOT-23-3"
"https://my.centralsemi.com/datasheets/CMPDM7003.PDF","//media.digikey.com/Photos/Central%20Semiconductor%20Corp/MFG_SOT-23.jpg","1514-CMPDM7003TRPBFREETR-ND,1514-CMPDM7003TRPBFREECT-ND,1514-CMPDM7003TRPBFREEDKR-ND","CMPDM7003 TR PBFREE","Central Semiconductor Corp","Central Semiconductor Corp","MOSFET N-CH 50V 280MA SOT23","8.850","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","50 V","280mA (Ta)","1.8V, 10V","2Ohm @ 50mA, 5V","1V @ 250µA","0.76 nC @ 4.5 V","12V","50 pF @ 25 V","-","350mW (Ta)","-65°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN2B01F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN2B01FTR-ND,ZXMN2B01FCT-ND,ZXMN2B01FDKR-ND","ZXMN2B01FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 2.1A SOT23-3","341.281","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","2.1A (Ta)","1.8V, 4.5V","100mOhm @ 2.4A, 4.5V","1V @ 250µA","4.8 nC @ 4.5 V","±8V","370 pF @ 10 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ds31188.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN3200U-7DITR-ND,DMN3200U-7DICT-ND,DMN3200U-7DIDKR-ND","DMN3200U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 2.2A SOT23-3","100.283","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","2.2A (Ta)","1.5V, 4.5V","90mOhm @ 2.2A, 4.5V","1V @ 250µA","-","±8V","290 pF @ 10 V","-","650mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMN3730U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMN3730U-7DITR-ND,DMN3730U-7DICT-ND,DMN3730U-7DIDKR-ND","DMN3730U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 750MA SOT23","109.426","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","750mA (Ta)","1.8V, 4.5V","460mOhm @ 200mA, 4.5V","950mV @ 250µA","1.6 nC @ 4.5 V","±8V","64.3 pF @ 25 V","-","450mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/DMG3414U.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","DMG3414U-7DITR-ND,DMG3414U-7DICT-ND,DMG3414U-7DIDKR-ND","DMG3414U-7","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 4.2A SOT23-3","148.793","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.2A (Ta)","1.8V, 4.5V","25mOhm @ 8.2A, 4.5V","900mV @ 250µA","9.6 nC @ 4.5 V","±8V","829.9 pF @ 10 V","-","780mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXM61N03F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXM61N03FTR-ND,ZXM61N03FCT-ND,ZXM61N03FDKR-ND","ZXM61N03FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 1.4A SOT23-3","134.129","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","1.4A (Ta)","4.5V, 10V","220mOhm @ 910mA, 10V","1V @ 250µA","4.1 nC @ 10 V","±20V","150 pF @ 25 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.vishay.com/docs/62947/si2374ds.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","SI2374DS-T1-GE3TR-ND,SI2374DS-T1-GE3CT-ND,SI2374DS-T1-GE3DKR-ND","SI2374DS-T1-GE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 4.5A/5.9A SOT23","2","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","4.5A (Ta), 5.9A (Tc)","1.8V, 4.5V","30mOhm @ 4A, 4.5V","1V @ 250µA","20 nC @ 10 V","±8V","735 pF @ 10 V","-","960mW (Ta), 1.7W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXM61N02F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXM61N02FTR-ND,ZXM61N02FCT-ND,ZXM61N02FDKR-ND","ZXM61N02FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 1.7A SOT23-3","39","0.52","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","1.7A (Ta)","2.7V, 4.5V","180mOhm @ 930mA, 4.5V","700mV @ 250µA","3.4 nC @ 4.5 V","±12V","160 pF @ 15 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN3B01F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN3B01FTR-ND,ZXMN3B01FCT-ND,ZXMN3B01FDKR-ND","ZXMN3B01FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 30V 1.7A SOT23-3","30.368","0.56","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","1.7A (Ta)","2.5V, 4.5V","150mOhm @ 1.7A, 4.5V","700mV @ 250µA","2.93 nC @ 4.5 V","±12V","258 pF @ 15 V","-","625mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN2A14F.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN2A14FTR-ND,ZXMN2A14FCT-ND,ZXMN2A14FDKR-ND","ZXMN2A14FTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 3.4A SOT23-3","76.568","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.4A (Ta)","2.5V, 4.5V","60mOhm @ 3.4A, 4.5V","700mV @ 250µA","6.6 nC @ 4.5 V","±12V","544 pF @ 10 V","-","1W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.taiwansemi.com/assets/uploads/datasheet/TSM210N02CX_B1811.pdf","//media.digikey.com/Photos/Taiwan%20Semi%20photos/MFG_TO-236-3,-SC-59,-SOT-23-3.jpg","TSM210N02CXRFGTR-ND,TSM210N02CXRFGCT-ND,TSM210N02CXRFGDKR-ND","TSM210N02CX RFG","Taiwan Semiconductor Corporation","Taiwan Semiconductor Corporation","MOSFET N-CHANNEL 20V 6.7A SOT23","12.686","0.79","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6.7A (Tc)","1.8V, 4.5V","25mOhm @ 4A, 4.5V","800mV @ 250µA","4 nC @ 4.5 V","±10V","600 pF @ 10 V","-","1.56W (Tc)","150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
"https://www.diodes.com/assets/Datasheets/ZXMN2B14FH.pdf","//media.digikey.com/Renders/Diodes%20Renders/SOT-23-3%20PKG.jpg","ZXMN2B14FHTR-ND,ZXMN2B14FHCT-ND,ZXMN2B14FHDKR-ND","ZXMN2B14FHTA","Diodes Incorporated","Diodes Incorporated","MOSFET N-CH 20V 3.5A SOT23-3","6.632","0.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.5A (Ta)","1.8V, 4.5V","55mOhm @ 3.5A, 4.5V","1V @ 250µA","11 nC @ 4.5 V","±8V","872 pF @ 10 V","-","1W (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3","TO-236-3, SC-59, SOT-23-3"
"https://www.vishay.com/docs/71611/si2314ed.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","SI2314EDS-T1-E3TR-ND,SI2314EDS-T1-E3CT-ND,SI2314EDS-T1-E3DKR-ND","SI2314EDS-T1-E3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 3.77A SOT23-3","53","0.84","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","3.77A (Ta)","1.8V, 4.5V","33mOhm @ 5A, 4.5V","950mV @ 250µA","14 nC @ 4.5 V","±12V","-","-","750mW (Ta)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"-","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg","742-SQ2310ES-T1_BE3TR-ND,742-SQ2310ES-T1_BE3CT-ND,742-SQ2310ES-T1_BE3DKR-ND","SQ2310ES-T1_BE3","Vishay Siliconix","Vishay Siliconix","MOSFET N-CH 20V 6A SOT23-3","3.577","0.9","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Automotive, AEC-Q101, TrenchFET®","Active","N-Channel","MOSFET (Metal Oxide)","20 V","6A (Tc)","1.5V, 4.5V","30mOhm @ 5A, 4.5V","1V @ 250µA","8.5 nC @ 4.5 V","±8V","485 pF @ 10 V","-","2W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","SOT-23-3 (TO-236)","TO-236-3, SC-59, SOT-23-3"
"https://www.taiwansemi.com/assets/uploads/datasheet/TSM320N03CX_C1811.pdf","//media.digikey.com/Photos/Taiwan%20Semi%20photos/MFG_TO-236-3,-SC-59,-SOT-23-3.jpg","TSM320N03CXRFGTR-ND,TSM320N03CXRFGCT-ND,TSM320N03CXRFGDKR-ND","TSM320N03CX RFG","Taiwan Semiconductor Corporation","Taiwan Semiconductor Corporation","MOSFET N-CHANNEL 30V 5.5A SOT23","1.955","0.9","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","N-Channel","MOSFET (Metal Oxide)","30 V","5.5A (Tc)","2.5V, 4.5V","32mOhm @ 4A, 4.5V","900mV @ 250µA","8.9 nC @ 4.5 V","±12V","792 pF @ 15 V","-","1.8W (Tc)","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23","TO-236-3, SC-59, SOT-23-3"
